GeneID	SRR16497780	SRR16497781	SRR16497782	SRR16497783	SRR16497784	SRR16497785
ENSG00000010295	175	269	431	332	270	454
ENSG00000010310	37	66	57	31	27	11
ENSG00000010318	54	54	97	59	61	35
ENSG00000010319	20	15	1	20	4	1
ENSG00000010322	1133	1561	2469	2176	1521	1870
ENSG00000010327	23	12	10	22	19	6
ENSG00000010361	42	34	72	58	62	58
ENSG00000010379	4	11	14	13	3	2
ENSG00000010404	190	409	966	989	370	1030
ENSG00000010438	9	0	3	2	4	2
ENSG00000010539	93	94	207	125	116	124
ENSG00000010610	6	36	23	31	14	23
ENSG00000010626	96	115	234	158	99	81
ENSG00000010671	3	5	0	1	1	1
ENSG00000010704	16	49	8	20	3	21
ENSG00000010803	101	96	394	196	184	172
ENSG00000010810	655	1216	2028	1590	917	1282
ENSG00000010818	56	234	247	82	68	188
ENSG00000010932	5	5	1	3	0	1
ENSG00000011007	223	258	632	538	371	586
ENSG00000011009	192	204	485	331	373	408
ENSG00000011021	376	257	1097	756	589	734
ENSG00000011028	3379	10422	8642	9306	4218	6718
ENSG00000011052	0	0	0	0	0	0
ENSG00000011083	4	9	2	8	2	3
ENSG00000011105	202	1973	572	1488	381	1762
ENSG00000011114	113	284	618	450	268	553
ENSG00000011132	181	130	228	160	147	119
ENSG00000011143	101	121	223	157	96	123
ENSG00000011198	78	49	149	110	78	153
ENSG00000011201	6	1	0	8	2	4
ENSG00000011243	128	110	511	330	217	285
ENSG00000011258	90	119	409	177	167	205
ENSG00000011260	262	131	564	323	377	339
ENSG00000011275	552	703	1518	1000	793	959
ENSG00000011295	438	256	776	486	479	396
ENSG00000011304	546	488	2041	1060	1175	1475
ENSG00000011332	28	36	82	62	109	92
ENSG00000011347	7	4	10	6	4	0
ENSG00000011376	257	297	718	467	373	582
ENSG00000011405	281	414	1706	843	545	1010
ENSG00000011422	103	49	230	163	148	239
ENSG00000011426	285	210	989	492	686	1027
ENSG00000011451	506	556	1180	763	738	633
ENSG00000011454	339	620	1468	936	596	855
ENSG00000011465	16	168	0	21	3	44
ENSG00000011478	234	141	216	172	135	156
ENSG00000011485	174	267	382	315	312	342
ENSG00000011523	281	270	693	424	337	345
ENSG00000011566	256	222	854	510	404	441
ENSG00000011590	23	15	21	5	13	10
ENSG00000011600	0	8	0	2	4	0
ENSG00000011638	101	350	427	263	180	326
ENSG00000011677	4	0	0	2	1	0
ENSG00000012048	191	69	388	173	235	245
ENSG00000012061	441	272	697	467	447	349
ENSG00000012124	12	10	3	5	0	2
ENSG00000012171	1337	307	1935	1438	1482	1056
ENSG00000012174	83	133	448	202	151	266
ENSG00000012211	14	15	26	42	9	42
ENSG00000012223	6	12	1	3	2	2
ENSG00000012232	1898	1666	4320	3716	2462	3029
ENSG00000012504	13	2	3	1	1	2
ENSG00000012660	141	224	1170	541	316	653
ENSG00000012779	10	25	52	151	17	66
ENSG00000012817	333	83	987	548	477	351
ENSG00000012822	321	587	727	714	325	519
ENSG00000012963	131	94	234	143	152	232
ENSG00000012983	273	381	671	471	358	436
ENSG00000013016	45	318	189	225	62	353
ENSG00000013275	148	171	559	476	331	515
ENSG00000013288	278	440	665	441	354	466
ENSG00000013293	26	131	172	103	45	82
ENSG00000013297	183	564	674	231	185	481
ENSG00000013306	830	731	1603	1196	1086	1100
ENSG00000013364	616	1809	1340	3296	828	4391
ENSG00000013374	217	351	584	559	296	505
ENSG00000013375	163	285	735	456	250	452
ENSG00000013392	31	35	105	82	48	72
ENSG00000013441	149	267	433	222	153	232
ENSG00000013503	25	58	83	93	50	126
ENSG00000013523	67	73	269	287	109	224
ENSG00000013561	112	167	332	375	152	367
ENSG00000013563	1	60	22	68	30	86
ENSG00000013573	209	118	290	269	350	329
ENSG00000013583	85	223	237	218	108	309
ENSG00000013588	32	470	184	367	71	1885
ENSG00000013619	43	40	150	119	83	117
ENSG00000013725	0	11	2	4	6	8
ENSG00000013810	479	215	723	232	793	724
ENSG00000014123	52	194	471	288	174	229
ENSG00000014138	202	122	352	186	304	260
ENSG00000014164	100	129	279	281	168	217
ENSG00000014216	899	1342	2297	1961	1423	2169
ENSG00000014257	6	4	1	3	2	1
ENSG00000014641	399	564	1190	1072	625	1101
ENSG00000014824	121	204	581	308	266	320
ENSG00000014914	33	102	33	49	31	76
ENSG00000014919	266	335	649	494	363	609
ENSG00000015133	94	54	190	184	149	114
ENSG00000015153	187	143	275	183	156	153
ENSG00000015171	113	262	721	402	232	435
ENSG00000015285	10	22	13	9	15	11
ENSG00000015413	1	1	2	0	4	1
ENSG00000015475	221	142	423	279	252	280
ENSG00000015479	108	140	195	132	65	105
ENSG00000015520	10	4	16	8	7	5
ENSG00000015532	305	438	590	466	374	458
ENSG00000015568	13	12	31	23	21	12
ENSG00000015592	9	1	4	16	4	4
ENSG00000015676	652	926	1566	1211	986	1103
ENSG00000016082	13	8	1	4	0	1
ENSG00000016391	143	36	146	49	128	47
ENSG00000016402	5	0	0	1	0	1
ENSG00000016490	6	7	3	3	1	0
ENSG00000016602	10	9	3	1	0	1
ENSG00000016864	80	237	410	270	128	289
ENSG00000017260	656	1126	2374	1436	1195	1768
ENSG00000017427	0	11	4	11	2	2
ENSG00000017483	14	12	11	30	5	11
ENSG00000017797	457	608	1036	848	585	909
ENSG00000018189	386	507	976	582	435	673
ENSG00000018236	20	7	134	40	81	20
ENSG00000018280	33	30	30	22	14	15
ENSG00000018408	344	548	2136	1200	611	1083
ENSG00000018510	245	374	1182	817	477	738
ENSG00000018607	0	5	1	0	1	0
ENSG00000018610	677	395	471	392	402	273
ENSG00000018625	32	25	15	52	9	14
ENSG00000018699	99	152	330	197	169	253
ENSG00000018869	6	21	44	23	17	11
ENSG00000019102	5	2	2	1	8	1
ENSG00000019144	1753	1078	3298	2837	2159	1664
ENSG00000019169	17	0	0	2	5	2
ENSG00000019186	19	6	1	12	3	10
