GeneID	SRR16497780	SRR16497781	SRR16497782	SRR16497783	SRR16497784	SRR16497785
ENSG00000011105	200	1977	572	1498	381	1770
ENSG00000011114	119	290	622	454	270	545
ENSG00000011132	202	139	240	185	156	132
ENSG00000011143	108	135	235	169	105	136
ENSG00000011198	54	37	142	103	62	159
ENSG00000011201	3	1	0	9	1	4
ENSG00000011243	331	247	997	614	480	511
ENSG00000011258	93	114	415	179	164	206
ENSG00000011260	267	129	555	319	365	346
ENSG00000011275	560	708	1533	1007	802	973
ENSG00000011295	439	243	733	472	480	383
ENSG00000011304	590	508	2102	1098	1251	1543
ENSG00000011332	34	30	68	61	105	86
ENSG00000011347	7	4	8	5	4	0
ENSG00000011376	277	325	781	514	391	623
ENSG00000011405	266	433	1734	864	579	1033
ENSG00000011422	103	49	229	170	151	251
ENSG00000011426	340	251	1116	555	790	1210
ENSG00000011451	521	569	1204	770	761	643
ENSG00000011454	360	642	1522	992	636	909
ENSG00000011465	11	175	1	16	3	44
ENSG00000011478	221	143	228	170	137	160
ENSG00000011485	175	277	417	355	336	377
ENSG00000011523	262	232	574	368	309	316
ENSG00000011566	260	228	869	516	408	458
ENSG00000011590	6	0	0	1	0	0
ENSG00000011600	0	4	0	0	3	0
ENSG00000011638	101	363	431	275	183	337
ENSG00000011677	4	0	0	0	1	0
ENSG00000012048	192	67	397	173	235	255
ENSG00000012061	520	321	925	577	570	401
ENSG00000012124	5	5	3	2	0	2
ENSG00000012171	1367	329	2010	1494	1535	1086
ENSG00000012174	83	136	452	205	151	266
ENSG00000012211	12	16	27	42	7	45
ENSG00000012223	3	3	1	1	0	0
ENSG00000012232	1906	1670	4346	3732	2468	3058
ENSG00000012504	10	1	0	1	1	2
ENSG00000012660	142	223	1212	557	336	684
ENSG00000012779	8	20	42	142	17	66
ENSG00000012817	344	84	1025	562	501	369
ENSG00000012822	343	621	762	727	339	543
ENSG00000012963	137	98	240	147	156	241
ENSG00000012983	302	413	719	517	419	474
ENSG00000013016	59	335	202	234	65	356
ENSG00000013275	174	183	621	536	372	575
ENSG00000013288	264	446	652	441	337	472
ENSG00000013293	23	136	173	110	48	96
ENSG00000013297	182	569	681	234	185	485
ENSG00000013306	862	749	1642	1226	1125	1132
ENSG00000013364	667	1933	1391	3473	860	4645
ENSG00000013374	208	225	559	357	299	365
ENSG00000013375	246	418	1057	690	392	660
ENSG00000013392	29	32	104	76	46	66
ENSG00000013441	139	264	442	225	150	236
ENSG00000013503	25	72	87	108	53	148
ENSG00000013523	72	67	278	299	111	229
ENSG00000013561	110	212	359	417	173	406
ENSG00000013563	57	335	173	375	109	376
ENSG00000013573	205	114	292	272	359	327
ENSG00000013583	93	241	252	226	117	338
ENSG00000013588	28	458	178	360	69	1875
ENSG00000013619	43	36	154	115	84	117
ENSG00000013725	0	6	1	2	2	5
ENSG00000013810	532	233	771	249	826	748
ENSG00000014123	50	196	484	306	174	240
ENSG00000014138	49	21	74	32	95	38
ENSG00000014164	99	126	282	285	174	222
ENSG00000014216	917	1418	2410	2030	1493	2284
ENSG00000014257	5	4	1	1	2	1
ENSG00000014641	419	579	1220	1107	635	1143
ENSG00000014824	116	201	592	302	268	331
ENSG00000014914	31	105	35	49	29	80
ENSG00000014919	106	129	299	221	151	275
ENSG00000015133	86	48	185	169	151	111
ENSG00000015153	197	137	281	186	155	153
ENSG00000015171	109	255	718	402	224	444
ENSG00000015285	9	11	8	9	12	10
ENSG00000015413	1	1	2	0	3	1
ENSG00000015475	207	95	327	230	228	250
ENSG00000015479	103	139	193	127	64	105
ENSG00000015520	6	1	12	6	1	5
ENSG00000015532	291	452	476	383	342	460
ENSG00000015568	15	13	40	32	25	23
ENSG00000015592	4	0	4	8	3	4
ENSG00000015676	659	930	1576	1224	999	1122
ENSG00000016082	5	2	0	1	0	0
ENSG00000016391	140	37	156	51	129	46
ENSG00000016402	5	0	0	0	0	1
ENSG00000016490	3	5	3	3	0	0
ENSG00000016602	7	6	2	1	0	1
ENSG00000016864	82	265	427	292	141	320
ENSG00000017260	716	1227	2574	1537	1298	1901
ENSG00000017427	2	38	28	19	11	8
ENSG00000017483	12	8	13	31	5	13
ENSG00000017797	469	624	1049	854	595	937
ENSG00000018189	389	551	1058	629	446	710
ENSG00000018236	19	5	135	39	82	17
ENSG00000018280	22	24	26	17	11	5
ENSG00000018408	618	907	3064	1787	1079	1553
ENSG00000018510	291	395	1238	861	522	767
