"","SRR16497780","SRR16497781","SRR16497782","SRR16497783","SRR16497784","SRR16497785"
"ENSG00000132768",282.266367986587,93.9319965183823,170.020084963924,206.99075925584,294.284178629591,196.766449209688
"ENSG00000132773",18.4395114765107,11.4241617387222,66.9417059265626,41.5611367009758,51.4717574789398,63.4433878292919
"ENSG00000132780",1347.50276174501,388.421499116554,820.480200958311,461.247124955927,1408.75962317359,572.829429241287
"ENSG00000132781",165.955603288596,36.8111878247715,124.997344694732,100.235682631765,186.864858673542,89.1885307165407
"ENSG00000132792",165.955603288596,274.179881729332,254.141520730047,303.151820642412,298.759983627759,376.0629800316
"ENSG00000132793",15.6026635570475,52.043403476401,2.96202238613109,45.6357579461695,3.35685374862651,46.8929388303462
"ENSG00000132801",59.5738063087268,93.9319965183823,65.7568969721102,48.0805306932857,76.0886849688675,62.5239184404616
"ENSG00000132819",174.466147046986,112.972266082919,235.776981936035,264.035456688552,266.310397391036,236.303632929391
"ENSG00000132821",141.842395973159,38.0805391290739,95.377120833421,90.4565916433002,91.7540024624579,35.8593061643824
"ENSG00000132823",65.2475021476532,137.089940864666,151.063141692685,141.796819332741,116.370929952386,211.477959430973
"ENSG00000132824",236.876801275176,695.60451475775,688.966407014091,465.321746201121,382.681327343422,741.092327397236
"ENSG00000132825",92.1975573825534,85.0465373882651,78.1973909938607,61.9342429269443,83.9213437156627,66.2017959957828
"ENSG00000132837",15.6026635570475,10.1548104344197,3.55442686335731,4.88954549423244,11.1895124954217,5.5168163329819
"ENSG00000132840",2.83684791946318,15.2322156516296,2.36961790890487,0,4.47580499816868,0
"ENSG00000132842",283.684791946318,479.814793026331,508.875445937321,426.205382247261,449.818402315952,491.91612302422
"ENSG00000132846",329.074358657729,138.359292168969,195.493477484652,123.05356160485,233.860811154313,117.692081770281
"ENSG00000132849",167.374027248328,96.4706991269873,258.288352070631,136.907273838508,151.058418688193,120.450489936772
"ENSG00000132854",22.6947833557055,25.3870260860493,1.18480895445244,38.3014397048208,1.11895124954217,11.0336326659638
"ENSG00000132855",15.6026635570475,8.88545913011725,13.0328984989768,8.14924249038741,2.23790249908434,7.35575511064254
"ENSG00000132872",19.8579354362423,6.34675652151232,11.2556850672981,3.25969699615496,1.11895124954217,3.67787755532127
"ENSG00000132874",12.7658156375843,17.7709182602345,4.73923581780974,4.0746212451937,2.23790249908434,0
"ENSG00000132879",208.508322080544,157.399561733506,226.298510300415,159.725152811593,221.55234740935,129.645183825075
"ENSG00000132881",79.4317417449691,76.1610782581478,54.501211904812,82.3073491529128,58.1854649761928,57.0071021074797
"ENSG00000132906",133.33185221477,96.4706991269873,141.584670057066,118.164016110617,133.155198695518,104.819510326656
"ENSG00000132912",192.905658523496,394.768255638066,492.880525052213,537.850004365569,303.235788625928,597.655102739706
"ENSG00000132915",21.2763593959739,16.501566955932,5.33164029503596,25.262651720201,5.59475624771085,2.75840816649095
"ENSG00000132932",15.6026635570475,29.1950799989567,2.36961790890487,10.5940152375036,6.71370749725302,3.67787755532127
"ENSG00000132938",7.09211979865795,19.040269564537,6.51644924948839,13.0387879846199,7.83265874679519,7.35575511064254
"ENSG00000132950",80.8501657047007,63.4675652151232,135.068220807578,85.5670461490678,69.3749774716145,85.5106531612195
"ENSG00000132952",56.7369583892636,88.8545913011725,143.361883488745,150.760986072167,135.393101194602,158.148734878815
"ENSG00000132953",141.842395973159,208.173613905604,406.389471377185,312.115987381838,353.588594855325,357.673592254993
"ENSG00000132958",5.67369583892636,2.53870260860493,0.592404477226218,6.51939399230993,5.59475624771085,0.919469388830317
"ENSG00000132963",187.23196268457,178.978533906647,363.736349016898,347.157730090504,275.262007387374,510.305510800826
"ENSG00000132964",137.587124093964,77.4304295624503,138.030243193709,152.390834570244,148.820516189109,146.19563282402
"ENSG00000132965",1.41842395973159,3.80805391290739,0,4.88954549423244,0,0
"ENSG00000132967",4.25527187919477,3.80805391290739,4.73923581780974,1.62984849807748,0,1.83893877766063
"ENSG00000132970",187.23196268457,96.4706991269873,316.3439908388,194.766895520259,194.697517420337,115.85314299262
"ENSG00000132972",22.6947833557055,6.34675652151232,2.36961790890487,4.0746212451937,5.59475624771085,1.83893877766063
"ENSG00000132975",14.1842395973159,0,0.592404477226218,2.44477274711622,0,0.919469388830317
"ENSG00000133019",28.3684791946318,24.1176747817468,1.18480895445244,8.96416673942615,4.47580499816868,4.59734694415158
"ENSG00000133020",36.8790229530214,20.3096208688394,2.36961790890487,4.88954549423244,1.11895124954217,0
"ENSG00000133026",3828.32626731556,3036.28831989149,5923.45236778495,3302.88798135402,6787.5582797228,2984.59763614321
"ENSG00000133027",78.0133177852375,36.8111878247715,82.3442223344443,86.3819703981065,76.0886849688675,93.7858776606923
"ENSG00000133028",987.223075973187,318.607177379918,457.928660895866,449.838185469385,672.489700974844,392.613429030545
"ENSG00000133030",4954.55489134245,4216.78503289279,3351.23212766871,4068.91677545043,4762.25651805147,4269.09637233916
"ENSG00000133048",60.9922302684584,15.2322156516296,103.670783514588,22.8178789730847,26.8548299890121,12.8725714436244
"ENSG00000133055",104.963373020138,16.501566955932,34.3594596791206,17.1134092298136,55.9475624771085,16.5504489989457
"ENSG00000133056",214.18201791947,163.746318255018,207.933971506402,228.993713979886,177.913248677205,200.444326765009
"ENSG00000133059",507.795777583909,371.919932160622,626.171532428112,476.730685687663,520.312331037109,468.929388303462
"ENSG00000133063",31.205327114095,6.34675652151232,12.4404940217506,14.6686364826973,3.35685374862651,2.75840816649095
"ENSG00000133065",472.33517859062,310.991069554104,311.012350543764,431.094927741494,384.919229842506,485.479837302407
"ENSG00000133067",0,11.4241617387222,2.96202238613109,5.70446974327118,3.35685374862651,0.919469388830317
"ENSG00000133069",117.729188657722,90.123942605475,119.665704399696,128.758031348121,108.53827120559,80.9133062170679
