"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000166848",502.043649685482,0.0802186449419854,0.258640125160179,0.310155452068023,0.75644274525844,0.93650722583087
"ENSG00000166851",333.420471506256,-0.763994669992709,0.426707947614929,-1.79043927881595,0.0733833205981888,0.335851223493095
"ENSG00000166855",839.82268958251,-0.812331166001897,0.359858073586821,-2.25736540493626,0.023985251559307,0.167987525953534
"ENSG00000166856",10.5893252907795,-1.47094614957258,0.872173885375452,-1.68652854005067,0.0916940427622458,0.378680153790503
"ENSG00000166860",104.096468417271,-0.384125905364299,0.348458940149968,-1.10235629253473,0.270306805269587,0.6504447199753
"ENSG00000166881",234.687897936593,-0.305450722779708,0.39558809560748,-0.772143363694114,0.440029521391366,0.787109825994368
"ENSG00000166886",358.703831336524,-0.192281524358564,0.345910649839021,-0.555870495597773,0.578299389202927,0.866848553837343
"ENSG00000166887",896.88230466518,0.432046693930403,0.268604681264192,1.60848534693055,0.107728922876151,0.412660396315189
"ENSG00000166888",30.7550716594456,0.468687035204253,0.621535759957643,0.754078953134078,0.450801814487565,0.794504784792913
"ENSG00000166889",210.699148382912,0.677461987011056,0.406144422859524,1.66803222912992,0.095309329070588,0.385734745259216
"ENSG00000166896",16.3752497126062,0.348057868340991,0.722791487311094,0.481546717762026,0.63012798468161,0.888422514397839
"ENSG00000166897",29.8959910507195,1.09964552435418,0.624787976447182,1.76002990743715,0.0784027358210269,0.348390642542574
"ENSG00000166900",339.633215735221,-0.170755200800558,0.336233409359426,-0.507847215795337,0.61156049452324,0.880320432510086
"ENSG00000166902",239.625948463051,0.33334852836758,0.310721456362289,1.07282107991573,0.283351400856233,0.662578062344601
"ENSG00000166908",214.190089695645,0.71358686815461,0.347000849694894,2.05644127033707,0.0397400017221387,0.231966330446437
"ENSG00000166912",314.405659050917,-1.27200837404083,0.387555528516002,-3.28213192806593,0.00103025390736046,0.0172069590278388
"ENSG00000166913",1279.80667390025,0.261274230446664,0.411981962280266,0.634188518838411,0.525957799421634,0.839553172017558
"ENSG00000166922",11.5614756338921,-1.29786665143967,0.887382309810959,-1.46257891000346,0.143582637599547,0.479237675878935
"ENSG00000166923",1112.56700277446,2.40179205300814,0.441262026865918,5.44300643784593,5.23887527914199e-08,3.25402986772691e-06
"ENSG00000166924",93.2544253427377,0.340601269174802,0.413142391515878,0.824416172654391,0.409703128626042,0.768063338858606
"ENSG00000166925",490.946826726578,-0.38678563615179,0.264447084710611,-1.46262015546534,0.143571344961169,0.479237675878935
"ENSG00000166938",251.083387678498,-0.163252902017059,0.291729663786348,-0.55960336668615,0.575750007981299,0.865512231464216
"ENSG00000166946",260.978382622424,0.0310474946612837,0.280949417270453,0.110509197573441,0.912005555938838,0.976138804339441
"ENSG00000166949",1759.03055557628,0.340250887159463,0.336430447503898,1.01135580826263,0.31184616407327,0.691055972182679
"ENSG00000166963",4100.79442306675,0.76884821637095,0.305270862802592,2.51857713937192,0.011783007024531,0.104937203846412
"ENSG00000166965",94.1743584165224,-0.791022102579944,0.46868509098113,-1.68774752558065,0.091459704496928,0.378073759292087
"ENSG00000166971",116.533056881758,-0.100761490648557,0.390005935654849,-0.258358864409001,0.79612996055501,0.947241037380153
"ENSG00000166974",330.471056062429,-0.0690097739666522,0.438382743161873,-0.157419002100569,0.874914638648449,0.965516370862419
"ENSG00000166979",138.427058513269,-0.193911370771877,0.351329318257072,-0.551936205420778,0.580992061765241,0.868121501245183
"ENSG00000166986",966.548935009164,0.606871080823586,0.334078059712314,1.81655473378343,0.0692853199235232,0.325238699523306
"ENSG00000166987",125.417193583373,0.308271609787374,0.329161147329609,0.936537049673978,0.348996746036732,0.721147359782139
"ENSG00000166997",138.798713800274,0.296116469621116,0.407600567999944,0.72648689150295,0.467540340617484,0.80522843792805
"ENSG00000167004",2313.15766769378,0.450838647992354,0.354809237499776,1.27065081836444,0.20385289944797,0.57137228190135
"ENSG00000167005",618.432447263398,0.0175666015227085,0.355369385404684,0.0494319495268399,0.96057506723535,0.989230731530825
"ENSG00000167011",41.4615257407881,-1.37968838936964,0.564003927223247,-2.44623897596287,0.0144355282493406,0.121262712376865
"ENSG00000167037",18.3926115232654,-0.396391428218495,0.825105904312006,-0.480412788403224,0.630933902708125,0.888906123971465
"ENSG00000167065",41.0365669166491,-0.158620464374193,0.463356690646589,-0.342329068676761,0.732103261977527,0.927264120519022
"ENSG00000167074",300.851796071235,-0.886335348120536,0.306972470454831,-2.88734474074265,0.00388508294369072,0.0475343110127048
"ENSG00000167077",10.775132120891,-0.208373474348705,1.01531806223217,-0.20522975223212,0.83739262523014,0.955634738723387
"ENSG00000167080",22.3400409615523,3.45100612092558,1.00346532201401,3.43908857159031,0.000583676236149963,0.0107973759380828
"ENSG00000167081",239.234951637629,-0.206107500949947,0.362532247427452,-0.568521841608567,0.569680679097716,0.86221990797542
"ENSG00000167085",382.089016143881,0.344224239302194,0.356484774235594,0.965607128776566,0.334240806803155,0.709957154566777
"ENSG00000167088",441.603836526042,-1.19339246440273,0.325312575003981,-3.66844861250177,0.000244026727832048,0.00523718900501087
"ENSG00000167100",89.7307659956151,-0.649316675567046,0.431665868492471,-1.50421129619233,0.132526970083296,0.459551039903754
"ENSG00000167103",36.3299236516487,-0.133404509684568,0.537901634912485,-0.248009117329179,0.804127352537246,0.949718488052144
"ENSG00000167105",12.274885810655,1.5800635141055,0.800100146168115,1.97483217778777,0.0482871961031845,0.262532179057348
"ENSG00000167106",809.474118419144,-0.319137895471788,0.255094157100729,-1.25105921318994,0.21091287480218,0.579049236370107
"ENSG00000167107",155.760924803842,0.582567473696261,0.333123098311149,1.74880540151593,0.0803246628032441,0.354065122053461
"ENSG00000167110",611.590913869043,0.395174839799655,0.262672257280354,1.50444071974407,0.13246792624753,0.459439909681416
"ENSG00000167112",476.847256928994,-0.137476933622531,0.289854987507187,-0.474295560013856,0.635289157246694,0.890004380828969
"ENSG00000167113",237.202460029425,-0.250041960955449,0.302880107563797,-0.825547649750427,0.409060742043375,0.767895557999655
"ENSG00000167114",272.561235078287,0.0115689040754045,0.302685393288042,0.0382208865440536,0.969511568007659,0.991940830589962
"ENSG00000167118",541.27346239023,-0.264780473108508,0.269323336084062,-0.983132308393299,0.325542324978883,0.703097059494366
"ENSG00000167123",2215.03591096966,0.868595136205281,0.386535191823837,2.24713080355473,0.0246316688209869,0.170756159537424
"ENSG00000167130",176.053319625605,0.114552881432817,0.397528153827606,0.288162939731044,0.77322201588094,0.940694622596192
"ENSG00000167136",209.48881749914,-0.563703647145322,0.380563073552764,-1.48123579590327,0.138543750559028,0.470258494368589
"ENSG00000167157",105.805803502697,7.09424296760229,1.37868683518914,5.14565221523206,2.66592929522483e-07,1.40035341590838e-05
"ENSG00000167173",187.279977410881,-0.0176796224114586,0.347359965406562,-0.0508971216379694,0.95940749913913,0.988806166526304
"ENSG00000167178",9.44019349038564,1.42760292246268,0.939481613954129,1.5195645143646,0.128620462155465,0.452457967222789
"ENSG00000167182",87.5138006858367,-0.19410302427254,0.348276606743694,-0.557324323581073,0.577305859862802,0.866225466789921
"ENSG00000167186",128.991024180762,-0.395186541168451,0.350072102815671,-1.1288718466565,0.258951898731909,0.637730884883705
"ENSG00000167191",1235.17138472976,0.127901041354454,0.290162587799793,0.440790945256883,0.659364349315949,0.901922670069775
"ENSG00000167193",704.496035079152,0.326015917941203,0.343933941122541,0.947902718984765,0.343178980637717,0.717690227509623
"ENSG00000167196",277.207122385765,-0.302767161316783,0.313564610872893,-0.965565471415755,0.3342616600212,0.709957154566777
"ENSG00000167202",434.363263913625,1.92134122496077,0.334837408939476,5.73813192213559,9.57265403117509e-09,6.99214587796432e-07
"ENSG00000167207",13.9067097248367,-2.1123057358307,1.05140851016467,-2.00902476574009,0.0445345073607119,0.249977830069906
"ENSG00000167210",17.2764542419974,-0.358248862812974,1.08555118875845,-0.330015633092997,0.741388149762942,0.931538200134035
"ENSG00000167216",33.5533733584649,0.162368038629301,0.566092705991942,0.286822347136217,0.774248350999607,0.940694622596192
"ENSG00000167220",23.0368390342409,-0.100376532692882,0.742758611645819,-0.135140180294195,0.892501042270234,0.970833324382096
"ENSG00000167232",376.468933439985,-0.0800653350988214,0.302484304932115,-0.264692527160343,0.791246334695632,0.945494457259391
"ENSG00000167244",66.2645331834808,4.92658092584266,0.806036412576966,6.11210715666301,9.83241227698063e-10,9.09444698597463e-08
"ENSG00000167257",135.343925640779,0.206410961026253,0.391559009178171,0.527151607262163,0.598088311202208,0.875603137619639
"ENSG00000167258",573.294653029955,0.407138107884013,0.329862755651081,1.23426516303851,0.217104112709233,0.586727732187285
"ENSG00000167264",139.136059234562,0.0242288425826932,0.348527524743611,0.0695177306312229,0.944577519792356,0.985427271416623
"ENSG00000167272",172.825058516412,0.415723092152318,0.294446968838301,1.41187764232213,0.157985991890292,0.503130525370753
"ENSG00000167280",394.907295632068,-0.161087613381215,0.277715071662466,-0.580046349004064,0.561883362308081,0.857794487183461
"ENSG00000167281",16.1214339998633,0.143271843254525,0.868739487805072,0.164919225228855,0.8690075600555,0.96402096464456
"ENSG00000167283",127.045203257463,0.0806758820576472,0.391857279922169,0.205880779026668,0.836884039931387,0.955634738723387
"ENSG00000167291",1634.01688995442,0.178771667796621,0.252924617573218,0.706817982021341,0.47967959832395,0.812741999991836
"ENSG00000167302",72.1241752665596,0.0115108235161757,0.422130742571679,0.0272683847806254,0.978245672777604,0.994011019421051
"ENSG00000167306",283.542279260434,-3.02921975146717,0.320221953069008,-9.45975040884961,3.08679121658168e-21,2.18892082145848e-18
"ENSG00000167315",439.29079147163,0.00392272510153897,0.281257922306875,0.0139470741636887,0.988872205622311,0.99691526976785
"ENSG00000167323",772.605648006188,1.05959641137202,0.254416849354354,4.16480439114395,3.1161962140076e-05,0.000923946748539988
"ENSG00000167325",480.853397379806,-0.362748479896817,0.387208777377438,-0.936829176119688,0.348846434844233,0.721147359782139
"ENSG00000167333",92.1178579636138,-0.0631163924189674,0.383612127647809,-0.164531796233809,0.869312518032791,0.96402096464456
"ENSG00000167363",200.938632603571,-0.152740962227029,0.298704085890823,-0.511345406513308,0.609109215430913,0.880320432510086
"ENSG00000167371",48.2579327771719,0.158213705563618,0.490356426458991,0.32265041717945,0.746960006652846,0.933529543852948
"ENSG00000167377",29.2892396604278,0.0766658455180667,0.587606944612769,0.13047130606768,0.896193554509446,0.97185226825637
"ENSG00000167378",569.655430002273,-0.229031834560773,0.277768023153545,-0.8245435596241,0.409630775795036,0.768063338858606
"ENSG00000167380",126.028095486203,0.107777936796063,0.328243538986434,0.328347473735096,0.742648953159515,0.931895822304107
"ENSG00000167384",72.194822465691,-0.699738097005222,0.377395054400603,-1.85412630305021,0.0637210924395216,0.309209166766532
"ENSG00000167394",84.0059599863131,0.0259826874853908,0.432751221323843,0.0600407028451736,0.952123216964165,0.986668757693653
"ENSG00000167395",457.127333211972,-0.0641839109789226,0.264714483869103,-0.242464673790424,0.808420126511921,0.950415793272819
"ENSG00000167447",184.057710216703,0.864847055857718,0.296908278548578,2.91284251178674,0.00358155181426234,0.0446225697854545
"ENSG00000167460",2535.54636134452,0.0976485669034349,0.292434748160339,0.333915745367904,0.738443137988646,0.930775506169984
"ENSG00000167461",151.678318112772,-0.198178724838708,0.324798149568847,-0.61015964869806,0.541756056730913,0.848003677929666
"ENSG00000167468",1111.31263343133,-0.480990780852099,0.23345567550718,-2.0603087922671,0.039369029928146,0.230723664031377
"ENSG00000167470",856.113044920916,-0.549411796960538,0.283295691805005,-1.93935810834251,0.0524577477770662,0.276401984339904
"ENSG00000167483",15.8800401239242,-0.334311320857876,0.774260346783936,-0.431781534785441,0.665900201269976,0.90407479366166
"ENSG00000167487",97.0478317335252,0.10523136656132,0.342674839812695,0.307088103167538,0.758776312799412,0.936895964940801
"ENSG00000167491",609.997686317676,-0.117616767322626,0.290836533133122,-0.404408504170932,0.68591234762055,0.911499616930119
"ENSG00000167508",1674.53132763186,-0.409809149518326,0.408111406156342,-1.00415999978529,0.315301498974893,0.694130390396162
"ENSG00000167513",292.959021996571,-0.80657887824118,0.43708574155957,-1.84535618884116,0.0649857417999907,0.312202818421973
"ENSG00000167515",202.760956449095,0.564839610435523,0.296217833495638,1.90683863888242,0.0565414861060709,0.288280273229245
"ENSG00000167522",2158.8567671422,-0.0259979236426954,0.245533821732365,-0.105883268786625,0.915674969010488,0.976935726087812
